"Founded year of startups","Startup industry","Status","Total funding","Number of startups in this industry","Total number of founded startups","Percentage of startups by industry"
"2002-2007"," Social Media ","acquired",123712,20,7459,0.00268132457433972
"2002-2007"," Social Media ","closed",107623,21,6533,0.00321444971682229
"2002-2007"," Social Media ","operating",556309,85,8220,0.0103406326034063
"2002-2007"," Software ","",103109,14,7294,0.00191938579654511
"2002-2007"," Software ","acquired",868042,132,8220,0.0160583941605839
"2002-2007"," Software ","closed",445881,70,8220,0.00851581508515815
"2002-2007"," Software ","operating",4724351,758,8220,0.0922141119221411
"2002-2007"," Travel ","",12602,3,3640,0.000824175824175824
"2002-2007"," Travel ","acquired",40147,6,3393,0.0017683465959328
"2002-2007"," Travel ","closed",12935,4,4034,0.000991571641051066
"2002-2007"," Travel ","operating",236381,44,8220,0.00535279805352798
"2008-2013"," Biotechnology ","",78042,14,19797,0.00070717785523059
"2008-2013"," Biotechnology ","acquired",77960,11,14900,0.000738255033557047
"2008-2013"," Biotechnology ","closed",47161,8,11372,0.000703482237073514
"2008-2013"," Biotechnology ","operating",5092254,786,19797,0.0397029853008031
"2008-2013"," E-Commerce ","",209835,37,19797,0.00186897004596656
"2008-2013"," E-Commerce ","acquired",184701,40,19797,0.00202050815780169
"2008-2013"," E-Commerce ","closed",285648,52,19797,0.00262666060514219
"2008-2013"," E-Commerce ","operating",4938494,884,19797,0.0446532302874173
"2008-2013"," Fashion ","acquired",19870,6,16046,0.000373924965723545
"2008-2013"," Fashion ","closed",33108,10,16046,0.000623208276205908
"2008-2013"," Fashion ","operating",933504,202,19797,0.0102035661968985
"2008-2013"," Mobile ","",89479,23,19797,0.00116179219073597
"2008-2013"," Mobile ","acquired",280069,58,19797,0.00292973682881245
"2008-2013"," Mobile ","closed",308386,60,19797,0.00303076223670253
"2008-2013"," Mobile ","operating",4887672,849,19797,0.0428852856493408
"2008-2013"," Real Estate ","",19135,4,12250,0.000326530612244898
"2008-2013"," Real Estate ","acquired",9018,1,4674,0.000213949507916132
"2008-2013"," Real Estate ","closed",21267,4,7547,0.000530011925268318
"2008-2013"," Real Estate ","operating",852220,188,19797,0.00949638834166793
"2008-2013"," Social Media ","",86356,10,16195,0.000617474529175672
"2008-2013"," Social Media ","acquired",147769,25,16046,0.00155802069051477
"2008-2013"," Social Media ","closed",243617,47,19797,0.00237409708541698
"2008-2013"," Social Media ","operating",2593031,426,19797,0.021518411880588
"2008-2013"," Software ","",289539,45,19797,0.0022730716775269
"2008-2013"," Software ","acquired",252066,48,16046,0.00299139972578836
"2008-2013"," Software ","closed",371060,69,19797,0.00348537657220791
"2008-2013"," Software ","operating",8584357,1512,19797,0.0763752083649038
"2008-2013"," Travel ","",32478,6,16924,0.000354526116757268
"2008-2013"," Travel ","acquired",29300,10,16046,0.000623208276205908
"2008-2013"," Travel ","closed",75163,12,16046,0.00074784993144709
"2008-2013"," Travel ","operating",856726,169,19797,0.00853664696671213
